course_number,course_name,unit,section,day,start_time,end_time,location,classroom,instructor,course_rate
57588,Junior Recital Voice,0,A2,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Johnston, Sharon Aylmer, Jennifer Spacagna, Maria Ahlstedt, Douglas Posvar, Mildred Teadt, Daniel",
57589,Senior Recital Voice,0,A2,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Johnston, Sharon Ahlstedt, Douglas Aylmer, Jennifer Posvar, Mildred Spacagna, Maria Teadt, Daniel",
57590,Internship,VAR,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Johnston, Sharon",
57591,Dalcroze Pedagogy/Practice Teaching,3,A,R,06:30PM,07:50PM,"Pittsburgh, Pennsylvania",MM  119,"Cagley, Judith Neely, Stephen",5
57596,Sophomore Recital,0,A2,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Johnston, Sharon",
57597,Senior Project,0,A2,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Johnston, Sharon Balada, Leonardo Galbraith, Nancy Vali, Mahmood-Reza",
57598,Junior Recital,0,A2,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Johnston, Sharon",
57599,Senior Recital,0,A2,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Johnston, Sharon",
57600,Graduate Forum,0,A,R,01:30PM,02:20PM,"Pittsburgh, Pennsylvania",CFA KRESGE,"Keeling, Kenneth Johnston, Sharon",
57605,Theory and Analysis for Graduate Students,6,A,TR,11:30AM,12:20PM,"Pittsburgh, Pennsylvania",MM  127,"Domencic, Mark",4.33
57606,Music History for Graduate Students 1,9,A,F,08:30AM,10:20AM,"Pittsburgh, Pennsylvania",MM  127,TBA,4.045555556
57611,Independent Study in History,3-9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA,4.75
57612,Independent Study in Theory,3-9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA,5
57613,Independent Study in Research,3-9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA,4.866
57614,Independent Study in Performance,3-9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA,4.605
57615,Independent Study in Literature and Repertoire,3-9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA,4.5
57616,Independent Study in Sound Studies,3-9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA,5
57617,Independent Study in Electronic and Experimental Music,3-9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA,4.959375
57618,Independent Study in Conducting,3-9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA,4.856363636
57619,Independent Study in Opera,3-9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA,
57620,Independent Study in Solfege,3-9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA,4.666666667
57621,Independent Study in Eurhythmics,3-9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA,
57622,Independent Study in Sound Recording Production,VAR,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA,5
57623,Independent Study in Studio Recording Project,3-9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA,5
